15-710.cpp|15-2237.cpp
10-845.cpp|10-423.cpp
7-975.cpp|7-476.cpp
15-423.cpp|15-2090.cpp
15-2284.cpp|15-224.cpp
8-1459.cpp|8-1324.cpp
12-1513.cpp|12-1540.cpp
15-2016.cpp|15-501.cpp
6-1999.cpp|6-3301.cpp
6-172.cpp|6-2168.cpp
2-683.cpp|2-1186.cpp
9-821.cpp|9-88.cpp
10-1280.cpp|10-2188.cpp
13-1747.cpp|13-1173.cpp
13-977.cpp|7-566.cpp
6-909.cpp|6-2151.cpp
9-1002.cpp|9-1189.cpp
15-362.cpp|15-1118.cpp
14-804.cpp|14-992.cpp
7-943.cpp|7-1056.cpp
10-128.cpp|10-1224.cpp
9-988.cpp|9-130.cpp
10-1979.cpp|10-1037.cpp
4-1680.cpp|4-453.cpp
4-832.cpp|4-2047.cpp
